iteration,chain,data_new_deaths[1],data_new_deaths[2],data_new_deaths[3],data_new_deaths[4],data_new_deaths[5],data_new_deaths[6],data_new_deaths[7],data_new_deaths[8],data_new_deaths[9],data_new_deaths[10],data_new_deaths[11],data_new_deaths[12],data_new_deaths[13],data_new_deaths[14],data_new_deaths[15],data_new_deaths[16],data_new_deaths[17],data_new_deaths[18],data_new_deaths[19],data_new_deaths[20],data_new_deaths[21],data_new_deaths[22],data_new_deaths[23],data_new_deaths[24],data_new_deaths[25],data_new_deaths[26],data_new_deaths[27],data_new_deaths[28],data_new_deaths[29],data_new_deaths[30],data_new_deaths[31],data_new_deaths[32],data_new_deaths[33],data_new_deaths[34],data_new_deaths[35],data_new_deaths[36],data_new_deaths[37],data_new_deaths[38],data_new_deaths[39],data_new_deaths[40],data_new_deaths[41],data_new_deaths[42],data_new_cases[1],data_new_cases[2],data_new_cases[3],data_new_cases[4],data_new_cases[5],data_new_cases[6],data_new_cases[7],data_new_cases[8],data_new_cases[9],data_new_cases[10],data_new_cases[11],data_new_cases[12],data_new_cases[13],data_new_cases[14],data_new_cases[15],data_new_cases[16],data_new_cases[17],data_new_cases[18],data_new_cases[19],data_new_cases[20],data_new_cases[21],data_new_cases[22],data_new_cases[23],data_new_cases[24],data_new_cases[25],data_new_cases[26],data_new_cases[27],data_new_cases[28],data_new_cases[29],data_new_cases[30],data_new_cases[31],data_new_cases[32],data_new_cases[33],data_new_cases[34],data_new_cases[35],data_new_cases[36],data_new_cases[37],data_new_cases[38],data_new_cases[39],data_new_cases[40],data_new_cases[41],data_new_cases[42],data_seroprev_cases[1]
24,1,13.0,16.0,13.0,8.0,21.0,30.0,30.0,41.0,50.0,45.0,48.0,44.0,66.0,92.0,80.0,63.0,102.0,112.0,95.0,97.0,56.0,63.0,63.0,33.0,42.0,43.0,34.0,26.0,41.0,24.0,25.0,34.0,30.0,45.0,52.0,90.0,135.0,193.0,343.0,361.0,425.0,436.0,436.0,459.0,545.0,711.0,979.0,1183.0,1330.0,1515.0,1479.0,1706.0,2149.0,4653.0,5753.0,6449.0,6910.0,5007.0,3722.0,3388.0,3572.0,2171.0,1607.0,1549.0,1265.0,1324.0,1624.0,1872.0,1500.0,1503.0,1297.0,1550.0,2248.0,2863.0,4156.0,7822.0,7795.0,13290.0,20046.0,27332.0,21996.0,27191.0,29788.0,22985.0,313.0
25,1,12.0,24.0,18.0,19.0,29.0,33.0,21.0,19.0,45.0,41.0,57.0,50.0,79.0,61.0,75.0,97.0,113.0,112.0,92.0,102.0,73.0,94.0,51.0,36.0,41.0,40.0,47.0,25.0,21.0,40.0,11.0,28.0,37.0,40.0,60.0,91.0,134.0,269.0,303.0,377.0,375.0,451.0,466.0,421.0,621.0,565.0,828.0,1278.0,975.0,1185.0,1515.0,1798.0,2180.0,3887.0,5886.0,5850.0,7347.0,5916.0,4273.0,3754.0,2955.0,2143.0,1903.0,1228.0,1836.0,1479.0,1309.0,2240.0,1498.0,1393.0,2019.0,1943.0,2811.0,2280.0,4526.0,8889.0,7924.0,15250.0,20790.0,23376.0,23687.0,23103.0,29671.0,23363.0,360.0
26,1,12.0,5.0,19.0,18.0,19.0,29.0,26.0,49.0,50.0,48.0,49.0,68.0,59.0,44.0,105.0,87.0,114.0,116.0,89.0,85.0,73.0,71.0,60.0,54.0,55.0,45.0,39.0,32.0,26.0,26.0,19.0,19.0,32.0,52.0,75.0,104.0,130.0,260.0,356.0,414.0,379.0,484.0,461.0,423.0,502.0,716.0,777.0,956.0,1138.0,1317.0,1392.0,1973.0,1964.0,3647.0,6772.0,5868.0,6357.0,5683.0,3482.0,3258.0,2646.0,2647.0,1698.0,1909.0,1581.0,1072.0,1417.0,1733.0,1295.0,1336.0,1385.0,1472.0,1856.0,1815.0,3604.0,7163.0,9810.0,16225.0,22137.0,27972.0,25380.0,27027.0,28326.0,22845.0,327.0
27,1,8.0,15.0,13.0,21.0,24.0,38.0,31.0,37.0,38.0,40.0,50.0,50.0,66.0,105.0,91.0,104.0,83.0,108.0,115.0,69.0,74.0,69.0,50.0,52.0,41.0,53.0,38.0,35.0,22.0,26.0,13.0,19.0,30.0,44.0,65.0,97.0,151.0,191.0,386.0,436.0,429.0,375.0,501.0,395.0,462.0,644.0,921.0,1069.0,1227.0,1455.0,1527.0,2045.0,1903.0,3811.0,7056.0,6737.0,5530.0,5603.0,3387.0,3517.0,2314.0,2639.0,1692.0,1443.0,1303.0,1126.0,1029.0,1656.0,1142.0,2536.0,1826.0,2033.0,1710.0,2709.0,4533.0,8233.0,8007.0,15871.0,21154.0,29601.0,21585.0,26218.0,32792.0,22827.0,325.0
28,1,14.0,10.0,22.0,15.0,20.0,20.0,31.0,31.0,35.0,35.0,48.0,63.0,89.0,90.0,104.0,109.0,104.0,102.0,97.0,74.0,79.0,69.0,46.0,33.0,43.0,23.0,26.0,32.0,24.0,24.0,24.0,28.0,52.0,44.0,69.0,111.0,160.0,276.0,357.0,508.0,492.0,504.0,427.0,446.0,527.0,707.0,950.0,975.0,1119.0,1122.0,1565.0,1558.0,2055.0,3695.0,5911.0,6006.0,5833.0,5684.0,3878.0,3259.0,3394.0,2263.0,2216.0,1249.0,1307.0,1166.0,1528.0,1316.0,1317.0,1732.0,2179.0,1999.0,1924.0,2384.0,3145.0,8170.0,8520.0,13658.0,20775.0,25289.0,23584.0,27281.0,29858.0,21114.0,312.0
29,1,12.0,14.0,15.0,18.0,21.0,26.0,30.0,40.0,35.0,46.0,54.0,48.0,58.0,62.0,93.0,85.0,112.0,90.0,88.0,112.0,84.0,50.0,50.0,42.0,47.0,40.0,29.0,39.0,29.0,25.0,27.0,19.0,37.0,59.0,68.0,108.0,118.0,242.0,355.0,380.0,391.0,432.0,486.0,402.0,475.0,723.0,1030.0,1221.0,1142.0,1411.0,1304.0,1912.0,2074.0,3931.0,6676.0,6474.0,6256.0,4993.0,3552.0,3362.0,2952.0,2045.0,2237.0,1647.0,1454.0,1966.0,1200.0,1812.0,857.0,1702.0,1562.0,1626.0,1939.0,2438.0,3908.0,8287.0,8248.0,15924.0,20761.0,27970.0,22108.0,25570.0,29706.0,25105.0,356.0
30,1,9.0,17.0,20.0,18.0,25.0,29.0,28.0,49.0,51.0,34.0,65.0,68.0,51.0,71.0,77.0,82.0,68.0,92.0,79.0,90.0,68.0,45.0,62.0,55.0,46.0,39.0,16.0,27.0,19.0,26.0,19.0,32.0,27.0,37.0,68.0,79.0,166.0,180.0,334.0,452.0,496.0,440.0,424.0,388.0,438.0,639.0,917.0,1196.0,964.0,1110.0,1413.0,2000.0,2110.0,3890.0,6788.0,6632.0,6737.0,5180.0,3303.0,3824.0,2901.0,2166.0,1786.0,1721.0,2101.0,1345.0,1573.0,1665.0,1215.0,1511.0,1823.0,1848.0,1687.0,2596.0,3844.0,6764.0,10497.0,16357.0,21634.0,28816.0,22621.0,29277.0,29907.0,22581.0,326.0
31,1,8.0,11.0,18.0,27.0,23.0,39.0,29.0,28.0,48.0,36.0,60.0,59.0,69.0,83.0,90.0,92.0,75.0,95.0,67.0,79.0,67.0,83.0,40.0,53.0,44.0,44.0,42.0,29.0,19.0,24.0,23.0,23.0,41.0,52.0,59.0,85.0,177.0,245.0,305.0,472.0,484.0,524.0,432.0,467.0,480.0,706.0,1044.0,1255.0,1031.0,1112.0,1829.0,1596.0,1947.0,3461.0,6569.0,6843.0,7382.0,5469.0,4388.0,3755.0,3331.0,1959.0,1882.0,1702.0,1107.0,1885.0,1321.0,1699.0,1752.0,1294.0,1140.0,1790.0,1600.0,2700.0,4855.0,9051.0,9014.0,15923.0,23565.0,26845.0,24486.0,24536.0,33676.0,21102.0,353.0
32,1,9.0,5.0,15.0,26.0,29.0,20.0,37.0,36.0,39.0,47.0,52.0,52.0,67.0,89.0,91.0,77.0,107.0,99.0,87.0,89.0,89.0,57.0,81.0,41.0,51.0,37.0,32.0,32.0,15.0,31.0,25.0,35.0,31.0,44.0,75.0,86.0,170.0,240.0,357.0,459.0,417.0,426.0,405.0,400.0,486.0,749.0,849.0,1257.0,1150.0,1408.0,1459.0,1832.0,3149.0,3221.0,6245.0,6253.0,7165.0,5220.0,4108.0,3665.0,2447.0,2232.0,1747.0,1556.0,1427.0,1549.0,1544.0,1861.0,1181.0,1811.0,2066.0,1870.0,1454.0,2566.0,3287.0,7011.0,8104.0,18526.0,20882.0,28106.0,24310.0,26028.0,27046.0,24662.0,321.0
33,1,11.0,13.0,13.0,21.0,16.0,30.0,30.0,43.0,52.0,57.0,46.0,61.0,68.0,78.0,88.0,74.0,83.0,96.0,90.0,83.0,68.0,66.0,45.0,48.0,36.0,36.0,30.0,23.0,27.0,19.0,18.0,23.0,41.0,41.0,61.0,63.0,156.0,213.0,326.0,423.0,503.0,358.0,470.0,363.0,597.0,715.0,1008.0,1116.0,874.0,1530.0,1521.0,1630.0,2354.0,4086.0,6427.0,6807.0,7625.0,5796.0,3482.0,2693.0,3039.0,2388.0,1518.0,1536.0,1326.0,1202.0,1967.0,1349.0,1709.0,1273.0,1228.0,2129.0,1755.0,2420.0,3268.0,8210.0,9517.0,16988.0,20700.0,29399.0,27479.0,25900.0,28735.0,22600.0,345.0
34,1,18.0,11.0,16.0,26.0,19.0,22.0,29.0,47.0,34.0,60.0,69.0,36.0,76.0,75.0,73.0,87.0,85.0,75.0,104.0,88.0,63.0,70.0,52.0,39.0,47.0,38.0,29.0,33.0,22.0,22.0,19.0,17.0,34.0,47.0,64.0,103.0,155.0,224.0,322.0,359.0,468.0,345.0,510.0,518.0,579.0,756.0,890.0,967.0,1155.0,1386.0,1838.0,1681.0,2404.0,4273.0,5619.0,6236.0,6422.0,4587.0,3745.0,3440.0,3706.0,2043.0,1582.0,1665.0,1346.0,922.0,1631.0,1302.0,1463.0,1104.0,2268.0,2327.0,1844.0,2463.0,4199.0,8157.0,8606.0,18045.0,19384.0,29049.0,24117.0,25993.0,28606.0,24252.0,302.0
35,1,6.0,11.0,20.0,16.0,29.0,27.0,29.0,37.0,47.0,38.0,38.0,50.0,84.0,83.0,90.0,51.0,88.0,100.0,106.0,83.0,84.0,77.0,50.0,65.0,59.0,38.0,50.0,32.0,31.0,28.0,25.0,36.0,41.0,42.0,65.0,85.0,131.0,222.0,288.0,351.0,438.0,412.0,459.0,432.0,593.0,708.0,910.0,1106.0,1210.0,1451.0,1585.0,1644.0,2173.0,4139.0,5729.0,6487.0,6651.0,5138.0,4136.0,4255.0,2771.0,2771.0,1235.0,1457.0,1743.0,1311.0,1167.0,1177.0,1261.0,1628.0,1484.0,1631.0,2362.0,2846.0,3646.0,7091.0,8137.0,17068.0,23977.0,29350.0,21893.0,24376.0,27542.0,21955.0,334.0
36,1,9.0,11.0,18.0,9.0,19.0,24.0,33.0,38.0,40.0,44.0,50.0,54.0,57.0,77.0,89.0,111.0,112.0,88.0,99.0,105.0,60.0,56.0,33.0,58.0,50.0,33.0,32.0,23.0,18.0,31.0,26.0,27.0,39.0,35.0,58.0,104.0,182.0,241.0,393.0,386.0,325.0,403.0,420.0,377.0,534.0,618.0,809.0,1034.0,1277.0,1114.0,1365.0,1536.0,2287.0,4006.0,6256.0,6232.0,6159.0,5611.0,4172.0,3762.0,2734.0,1857.0,1688.0,1343.0,1646.0,2220.0,1502.0,1971.0,1331.0,2057.0,1105.0,1574.0,1722.0,2835.0,4393.0,7318.0,8095.0,15185.0,22508.0,24460.0,19230.0,26034.0,28408.0,20611.0,337.0
37,1,23.0,11.0,19.0,18.0,16.0,33.0,30.0,26.0,55.0,46.0,61.0,60.0,86.0,85.0,73.0,90.0,96.0,116.0,97.0,81.0,75.0,53.0,40.0,28.0,52.0,36.0,37.0,29.0,39.0,23.0,16.0,18.0,20.0,47.0,56.0,110.0,156.0,256.0,328.0,460.0,421.0,443.0,454.0,460.0,504.0,611.0,1007.0,989.0,1333.0,1456.0,1246.0,1830.0,2413.0,3518.0,7015.0,6274.0,6782.0,5072.0,3835.0,3243.0,3013.0,1999.0,1778.0,1494.0,1606.0,1369.0,1760.0,1804.0,1745.0,1389.0,1301.0,1716.0,2024.0,2509.0,3654.0,7129.0,8172.0,16390.0,19893.0,30110.0,22406.0,26822.0,30202.0,21463.0,330.0
38,1,18.0,10.0,9.0,20.0,14.0,25.0,35.0,45.0,56.0,45.0,74.0,61.0,68.0,56.0,93.0,96.0,82.0,89.0,96.0,101.0,81.0,81.0,56.0,39.0,58.0,30.0,34.0,25.0,25.0,19.0,29.0,25.0,33.0,42.0,89.0,91.0,157.0,225.0,348.0,469.0,434.0,473.0,356.0,437.0,473.0,804.0,938.0,1182.0,1245.0,1706.0,1428.0,1831.0,2540.0,3668.0,5950.0,5718.0,6615.0,5918.0,3741.0,3625.0,3148.0,2066.0,2086.0,1916.0,1226.0,1193.0,1778.0,2083.0,1218.0,1554.0,1775.0,1577.0,1774.0,2565.0,4339.0,9030.0,9249.0,17126.0,22020.0,29447.0,23301.0,27009.0,29571.0,19588.0,317.0
39,1,10.0,14.0,23.0,15.0,15.0,20.0,31.0,27.0,43.0,60.0,58.0,55.0,72.0,79.0,82.0,79.0,70.0,70.0,69.0,60.0,66.0,65.0,58.0,48.0,39.0,31.0,25.0,28.0,23.0,32.0,25.0,24.0,46.0,34.0,50.0,78.0,166.0,264.0,298.0,416.0,491.0,448.0,446.0,465.0,549.0,749.0,817.0,1124.0,1175.0,1416.0,1864.0,2175.0,2051.0,3059.0,6387.0,6415.0,6550.0,5221.0,3398.0,3199.0,2574.0,2408.0,1946.0,1801.0,1306.0,1138.0,1269.0,2046.0,1256.0,1894.0,950.0,1723.0,1512.0,2415.0,4177.0,7561.0,8283.0,15593.0,21287.0,27623.0,22165.0,27198.0,31304.0,19254.0,353.0
40,1,12.0,12.0,12.0,21.0,23.0,25.0,33.0,38.0,32.0,51.0,41.0,57.0,61.0,73.0,66.0,85.0,92.0,106.0,70.0,83.0,67.0,68.0,59.0,47.0,48.0,39.0,25.0,51.0,29.0,36.0,28.0,29.0,25.0,39.0,69.0,93.0,154.0,243.0,303.0,419.0,556.0,495.0,436.0,342.0,524.0,596.0,954.0,1246.0,1178.0,1170.0,1457.0,1786.0,2169.0,3812.0,5162.0,6214.0,5591.0,6295.0,3680.0,3216.0,3089.0,2041.0,1735.0,1586.0,1990.0,1498.0,1758.0,1946.0,1146.0,1522.0,1974.0,1304.0,1705.0,3216.0,4006.0,8276.0,7599.0,13700.0,22181.0,25552.0,23516.0,24894.0,27471.0,24346.0,321.0
41,1,14.0,14.0,9.0,19.0,19.0,25.0,34.0,36.0,56.0,50.0,62.0,62.0,59.0,71.0,75.0,94.0,83.0,98.0,99.0,113.0,64.0,72.0,50.0,42.0,34.0,35.0,39.0,29.0,22.0,26.0,19.0,19.0,45.0,43.0,55.0,90.0,131.0,256.0,340.0,386.0,587.0,451.0,425.0,469.0,528.0,679.0,976.0,1167.0,1035.0,1324.0,1586.0,2256.0,2126.0,4168.0,6221.0,6525.0,6833.0,5487.0,3306.0,4202.0,3347.0,2542.0,2149.0,2159.0,1289.0,1172.0,1714.0,1296.0,1647.0,1620.0,1726.0,1860.0,1511.0,2947.0,4285.0,7060.0,8507.0,17868.0,20632.0,29172.0,20197.0,26712.0,34074.0,20205.0,335.0
42,1,18.0,10.0,13.0,16.0,11.0,26.0,22.0,40.0,35.0,44.0,51.0,65.0,71.0,81.0,92.0,59.0,91.0,96.0,111.0,91.0,76.0,49.0,52.0,43.0,35.0,29.0,33.0,34.0,22.0,19.0,23.0,19.0,32.0,44.0,64.0,105.0,145.0,223.0,317.0,430.0,447.0,416.0,423.0,452.0,547.0,632.0,830.0,997.0,922.0,1523.0,1514.0,1703.0,2188.0,3433.0,6438.0,6458.0,6590.0,5639.0,3486.0,3895.0,2844.0,1952.0,1828.0,1241.0,1112.0,1088.0,1288.0,2505.0,1714.0,1462.0,1503.0,1871.0,1796.0,2310.0,3865.0,6619.0,9632.0,15003.0,22452.0,28782.0,22716.0,27202.0,28237.0,25273.0,331.0
43,1,7.0,14.0,11.0,18.0,23.0,20.0,33.0,41.0,31.0,39.0,44.0,58.0,62.0,70.0,82.0,100.0,65.0,120.0,75.0,72.0,62.0,77.0,59.0,43.0,50.0,50.0,40.0,28.0,26.0,24.0,25.0,37.0,37.0,44.0,64.0,88.0,156.0,248.0,389.0,503.0,436.0,399.0,407.0,411.0,589.0,797.0,897.0,1153.0,1099.0,1122.0,1347.0,1681.0,2520.0,3632.0,5722.0,6430.0,6618.0,5221.0,3819.0,3559.0,2445.0,2550.0,2051.0,1029.0,1322.0,1496.0,1715.0,2286.0,1700.0,1911.0,1827.0,1507.0,1452.0,2233.0,3812.0,7682.0,8882.0,17507.0,22724.0,28326.0,26197.0,26640.0,28326.0,22069.0,317.0
44,1,10.0,11.0,11.0,10.0,17.0,33.0,28.0,24.0,32.0,49.0,50.0,54.0,57.0,72.0,96.0,103.0,100.0,108.0,86.0,104.0,66.0,62.0,55.0,29.0,43.0,59.0,32.0,19.0,24.0,25.0,29.0,31.0,45.0,49.0,58.0,95.0,156.0,220.0,404.0,513.0,409.0,529.0,479.0,378.0,469.0,788.0,1060.0,974.0,1078.0,1274.0,1728.0,2109.0,2242.0,3469.0,5976.0,6273.0,6877.0,4538.0,4797.0,3827.0,2897.0,2081.0,1786.0,1510.0,1243.0,1073.0,1947.0,2108.0,1321.0,1684.0,1959.0,1629.0,2525.0,2282.0,4595.0,9310.0,9964.0,16586.0,18610.0,28806.0,21987.0,26597.0,31607.0,21494.0,337.0
45,1,7.0,8.0,18.0,22.0,24.0,28.0,27.0,29.0,39.0,47.0,42.0,73.0,60.0,71.0,68.0,86.0,87.0,74.0,83.0,84.0,73.0,60.0,42.0,42.0,53.0,24.0,60.0,30.0,32.0,20.0,26.0,18.0,15.0,52.0,86.0,90.0,121.0,291.0,312.0,372.0,448.0,456.0,358.0,349.0,507.0,692.0,913.0,1204.0,988.0,1680.0,1585.0,1806.0,2132.0,3450.0,5575.0,5689.0,7344.0,4958.0,4069.0,3609.0,2683.0,2164.0,1686.0,1261.0,1561.0,1830.0,1687.0,1567.0,1519.0,1474.0,1620.0,1528.0,2410.0,2421.0,4799.0,6461.0,8163.0,15277.0,22498.0,31492.0,20790.0,28593.0,30307.0,22172.0,322.0
46,1,15.0,15.0,7.0,17.0,15.0,9.0,30.0,35.0,47.0,66.0,57.0,48.0,74.0,74.0,78.0,99.0,92.0,88.0,74.0,84.0,63.0,66.0,41.0,37.0,37.0,37.0,36.0,48.0,32.0,30.0,28.0,22.0,25.0,44.0,63.0,93.0,182.0,221.0,275.0,350.0,364.0,503.0,364.0,316.0,581.0,691.0,755.0,1021.0,1086.0,1589.0,1649.0,1866.0,2471.0,4560.0,6480.0,6128.0,6570.0,6396.0,4435.0,3642.0,2696.0,1659.0,1762.0,1844.0,1368.0,1052.0,1249.0,2088.0,1718.0,1689.0,2356.0,1714.0,2000.0,2994.0,4034.0,6868.0,7834.0,16126.0,22809.0,26064.0,24134.0,26272.0,29809.0,20457.0,360.0
47,1,19.0,16.0,9.0,18.0,30.0,20.0,26.0,37.0,30.0,37.0,36.0,49.0,62.0,69.0,88.0,72.0,102.0,107.0,116.0,95.0,65.0,58.0,49.0,47.0,37.0,40.0,37.0,29.0,35.0,27.0,18.0,15.0,32.0,41.0,60.0,106.0,173.0,239.0,330.0,462.0,450.0,472.0,406.0,406.0,493.0,635.0,1019.0,1210.0,1046.0,1472.0,1593.0,1616.0,2348.0,3207.0,6028.0,5762.0,6171.0,4445.0,3499.0,3891.0,3245.0,1750.0,1724.0,1538.0,1749.0,1836.0,1461.0,2192.0,1830.0,1334.0,1878.0,1611.0,2006.0,2590.0,4066.0,7411.0,7988.0,16234.0,18610.0,30505.0,22786.0,26613.0,27465.0,20666.0,342.0
48,1,19.0,6.0,15.0,20.0,19.0,15.0,35.0,43.0,60.0,33.0,58.0,50.0,65.0,57.0,97.0,69.0,107.0,133.0,80.0,93.0,58.0,46.0,33.0,36.0,44.0,44.0,24.0,26.0,23.0,28.0,15.0,30.0,22.0,42.0,63.0,85.0,164.0,203.0,273.0,432.0,523.0,470.0,415.0,365.0,477.0,584.0,822.0,1170.0,1212.0,1434.0,1584.0,1524.0,1819.0,4818.0,5014.0,5838.0,6195.0,5607.0,3373.0,3331.0,2669.0,1842.0,1818.0,1637.0,1624.0,1486.0,1200.0,1508.0,1095.0,1469.0,1369.0,1528.0,2235.0,3109.0,4087.0,8220.0,10412.0,18885.0,22112.0,27933.0,22102.0,27039.0,30234.0,22962.0,331.0
49,1,11.0,14.0,15.0,29.0,17.0,29.0,37.0,30.0,46.0,36.0,39.0,82.0,63.0,66.0,85.0,90.0,91.0,96.0,72.0,104.0,49.0,50.0,50.0,61.0,42.0,48.0,27.0,29.0,33.0,24.0,24.0,24.0,28.0,47.0,51.0,89.0,181.0,210.0,374.0,422.0,442.0,355.0,490.0,471.0,551.0,769.0,1203.0,1010.0,1055.0,1227.0,1395.0,1967.0,1925.0,3779.0,6611.0,6152.0,6790.0,4878.0,3675.0,3035.0,3336.0,2132.0,2238.0,1934.0,1288.0,1493.0,1446.0,1752.0,1746.0,1578.0,1543.0,1193.0,1699.0,3061.0,3924.0,6574.0,8581.0,15815.0,20203.0,27773.0,23508.0,25218.0,28310.0,20671.0,319.0
50,1,9.0,10.0,10.0,17.0,23.0,18.0,25.0,31.0,38.0,50.0,54.0,55.0,67.0,64.0,95.0,71.0,83.0,115.0,91.0,81.0,55.0,65.0,46.0,61.0,24.0,38.0,33.0,33.0,21.0,23.0,24.0,34.0,47.0,47.0,54.0,125.0,159.0,273.0,325.0,410.0,558.0,426.0,462.0,386.0,630.0,592.0,989.0,1033.0,1285.0,1325.0,1885.0,1532.0,1925.0,4021.0,7035.0,6364.0,6922.0,6075.0,3382.0,4289.0,3007.0,2120.0,1796.0,1662.0,1251.0,1566.0,1677.0,1928.0,1420.0,2010.0,1699.0,1843.0,1863.0,2510.0,4401.0,7130.0,9073.0,14931.0,20025.0,25922.0,21225.0,27010.0,30292.0,19677.0,319.0
51,1,9.0,7.0,16.0,15.0,14.0,12.0,39.0,41.0,37.0,51.0,58.0,55.0,64.0,67.0,87.0,102.0,65.0,84.0,92.0,80.0,50.0,83.0,36.0,45.0,51.0,43.0,35.0,21.0,17.0,24.0,14.0,26.0,28.0,45.0,66.0,91.0,145.0,204.0,343.0,476.0,413.0,491.0,471.0,505.0,562.0,592.0,843.0,1037.0,1071.0,1222.0,1567.0,1825.0,2446.0,3343.0,7234.0,5893.0,6795.0,5222.0,3831.0,3518.0,2934.0,2186.0,1873.0,1517.0,1336.0,1394.0,1312.0,1511.0,1021.0,1406.0,2069.0,1918.0,2327.0,1871.0,4141.0,7082.0,8249.0,17016.0,22753.0,30588.0,24718.0,26851.0,29455.0,20062.0,314.0
52,1,17.0,15.0,23.0,25.0,12.0,28.0,34.0,33.0,54.0,56.0,53.0,66.0,64.0,84.0,74.0,84.0,78.0,105.0,77.0,90.0,64.0,53.0,61.0,36.0,52.0,35.0,47.0,23.0,24.0,30.0,36.0,20.0,23.0,33.0,93.0,97.0,163.0,163.0,326.0,392.0,386.0,429.0,395.0,432.0,522.0,735.0,951.0,1049.0,1249.0,1347.0,1325.0,1580.0,2622.0,4010.0,5772.0,5691.0,5525.0,5857.0,3762.0,4335.0,2234.0,1995.0,1930.0,1188.0,1186.0,886.0,2210.0,1439.0,1420.0,1475.0,1679.0,1726.0,1872.0,2580.0,3650.0,7457.0,6333.0,14937.0,22531.0,27304.0,25405.0,25020.0,29655.0,17813.0,332.0
53,1,11.0,18.0,13.0,14.0,20.0,35.0,23.0,38.0,41.0,49.0,49.0,58.0,76.0,64.0,74.0,77.0,77.0,97.0,79.0,73.0,72.0,55.0,59.0,55.0,50.0,55.0,45.0,30.0,30.0,25.0,32.0,25.0,34.0,46.0,66.0,91.0,109.0,256.0,352.0,388.0,503.0,591.0,547.0,415.0,559.0,687.0,762.0,1030.0,917.0,1575.0,1417.0,1539.0,2386.0,4449.0,5800.0,6301.0,7084.0,6029.0,4289.0,3812.0,3111.0,1888.0,2250.0,1486.0,1398.0,2465.0,1032.0,1741.0,1519.0,980.0,1645.0,1834.0,2004.0,2924.0,3834.0,7008.0,7906.0,15729.0,19083.0,26177.0,23920.0,26957.0,28736.0,22703.0,331.0
54,1,9.0,24.0,11.0,24.0,31.0,21.0,30.0,32.0,32.0,53.0,57.0,56.0,70.0,89.0,84.0,83.0,103.0,80.0,94.0,91.0,69.0,38.0,55.0,49.0,45.0,42.0,39.0,38.0,32.0,20.0,28.0,23.0,27.0,37.0,60.0,98.0,173.0,209.0,305.0,471.0,507.0,432.0,432.0,497.0,575.0,660.0,1017.0,1055.0,1131.0,1360.0,1541.0,1490.0,1946.0,4777.0,6653.0,5605.0,6720.0,5385.0,3583.0,4027.0,3409.0,1754.0,1558.0,2020.0,1589.0,1193.0,1496.0,1582.0,1750.0,1451.0,1586.0,1682.0,2145.0,2598.0,3179.0,7105.0,7741.0,16899.0,22556.0,27596.0,24670.0,26366.0,29176.0,25150.0,322.0
55,1,9.0,10.0,20.0,21.0,27.0,20.0,27.0,41.0,45.0,45.0,50.0,74.0,75.0,100.0,77.0,90.0,117.0,110.0,99.0,113.0,59.0,66.0,62.0,39.0,41.0,25.0,55.0,29.0,28.0,20.0,22.0,28.0,36.0,40.0,68.0,85.0,155.0,263.0,319.0,317.0,406.0,485.0,480.0,430.0,511.0,571.0,996.0,1348.0,1080.0,1389.0,1568.0,1788.0,2042.0,4184.0,6176.0,6121.0,6350.0,6147.0,4104.0,3189.0,3090.0,2457.0,2068.0,1730.0,2063.0,1484.0,1316.0,1324.0,1350.0,1202.0,2310.0,1817.0,1792.0,2808.0,3044.0,6806.0,7330.0,16472.0,21109.0,25778.0,20209.0,30504.0,26751.0,20459.0,341.0
56,1,8.0,13.0,16.0,16.0,22.0,24.0,40.0,40.0,43.0,33.0,44.0,75.0,65.0,62.0,86.0,104.0,82.0,92.0,117.0,80.0,40.0,69.0,54.0,52.0,48.0,27.0,44.0,33.0,32.0,17.0,26.0,28.0,25.0,48.0,68.0,99.0,168.0,253.0,364.0,447.0,488.0,435.0,500.0,426.0,547.0,571.0,861.0,1009.0,1127.0,1429.0,1326.0,1879.0,2129.0,3686.0,6196.0,5525.0,6810.0,5589.0,2994.0,3021.0,2343.0,2480.0,2414.0,1863.0,1271.0,1397.0,1571.0,1414.0,1332.0,1292.0,1182.0,1595.0,2384.0,2561.0,3736.0,8187.0,8836.0,17473.0,22051.0,26020.0,21651.0,28312.0,28245.0,20590.0,322.0
57,1,12.0,22.0,14.0,25.0,19.0,25.0,26.0,37.0,48.0,66.0,49.0,55.0,60.0,85.0,77.0,79.0,124.0,88.0,85.0,90.0,77.0,76.0,48.0,51.0,49.0,46.0,41.0,30.0,28.0,26.0,15.0,32.0,33.0,35.0,66.0,101.0,121.0,289.0,366.0,506.0,521.0,402.0,483.0,550.0,536.0,616.0,1135.0,1106.0,1295.0,1420.0,1478.0,1891.0,2550.0,4302.0,6543.0,7203.0,6304.0,5592.0,3393.0,3609.0,3056.0,2296.0,1870.0,1414.0,1284.0,1756.0,1147.0,1736.0,1583.0,1989.0,1436.0,1761.0,1626.0,2873.0,4550.0,6902.0,8362.0,14903.0,18566.0,27772.0,23457.0,28253.0,27684.0,21539.0,337.0
