iteration,chain,data_new_deaths[1],data_new_deaths[2],data_new_deaths[3],data_new_deaths[4],data_new_deaths[5],data_new_deaths[6],data_new_deaths[7],data_new_deaths[8],data_new_deaths[9],data_new_deaths[10],data_new_deaths[11],data_new_deaths[12],data_new_deaths[13],data_new_deaths[14],data_new_deaths[15],data_new_deaths[16],data_new_deaths[17],data_new_deaths[18],data_new_deaths[19],data_new_deaths[20],data_new_deaths[21],data_new_deaths[22],data_new_deaths[23],data_new_deaths[24],data_new_deaths[25],data_new_deaths[26],data_new_deaths[27],data_new_deaths[28],data_new_deaths[29],data_new_deaths[30],data_new_deaths[31],data_new_deaths[32],data_new_deaths[33],data_new_deaths[34],data_new_deaths[35],data_new_deaths[36],data_new_deaths[37],data_new_deaths[38],data_new_deaths[39],data_new_deaths[40],data_new_deaths[41],data_new_deaths[42],data_new_cases[1],data_new_cases[2],data_new_cases[3],data_new_cases[4],data_new_cases[5],data_new_cases[6],data_new_cases[7],data_new_cases[8],data_new_cases[9],data_new_cases[10],data_new_cases[11],data_new_cases[12],data_new_cases[13],data_new_cases[14],data_new_cases[15],data_new_cases[16],data_new_cases[17],data_new_cases[18],data_new_cases[19],data_new_cases[20],data_new_cases[21],data_new_cases[22],data_new_cases[23],data_new_cases[24],data_new_cases[25],data_new_cases[26],data_new_cases[27],data_new_cases[28],data_new_cases[29],data_new_cases[30],data_new_cases[31],data_new_cases[32],data_new_cases[33],data_new_cases[34],data_new_cases[35],data_new_cases[36],data_new_cases[37],data_new_cases[38],data_new_cases[39],data_new_cases[40],data_new_cases[41],data_new_cases[42],data_seroprev_cases[1]
11,1,10.0,14.0,25.0,8.0,19.0,27.0,27.0,42.0,36.0,42.0,69.0,71.0,62.0,62.0,112.0,88.0,103.0,85.0,110.0,81.0,55.0,68.0,42.0,45.0,50.0,39.0,32.0,30.0,24.0,22.0,32.0,23.0,34.0,35.0,65.0,80.0,138.0,214.0,339.0,430.0,518.0,493.0,395.0,393.0,577.0,656.0,948.0,1118.0,1226.0,1274.0,1565.0,2244.0,2318.0,3915.0,7118.0,6460.0,7102.0,5376.0,3847.0,3282.0,3303.0,2117.0,1567.0,1255.0,1241.0,1577.0,1342.0,1751.0,1326.0,1775.0,1667.0,1503.0,2217.0,2599.0,3120.0,6384.0,9067.0,16120.0,23021.0,28845.0,24426.0,23009.0,30612.0,22635.0,325.0
12,1,9.0,9.0,15.0,17.0,26.0,24.0,24.0,29.0,32.0,44.0,47.0,44.0,64.0,77.0,80.0,91.0,117.0,113.0,72.0,93.0,57.0,62.0,64.0,40.0,40.0,43.0,43.0,31.0,27.0,34.0,24.0,27.0,31.0,39.0,55.0,96.0,144.0,207.0,285.0,391.0,441.0,404.0,486.0,479.0,628.0,736.0,1013.0,1006.0,1146.0,1345.0,1396.0,1601.0,2286.0,3132.0,5392.0,6934.0,6600.0,4862.0,3641.0,2761.0,3449.0,2236.0,1429.0,2008.0,1215.0,1314.0,1624.0,1272.0,1282.0,1738.0,1194.0,1147.0,2119.0,2844.0,3673.0,7879.0,9213.0,13744.0,22054.0,31910.0,24688.0,25767.0,30273.0,21690.0,311.0
13,1,10.0,13.0,17.0,19.0,12.0,26.0,22.0,43.0,34.0,37.0,39.0,55.0,54.0,81.0,86.0,116.0,94.0,95.0,90.0,77.0,85.0,63.0,45.0,38.0,54.0,44.0,29.0,33.0,26.0,23.0,22.0,23.0,32.0,37.0,71.0,67.0,148.0,241.0,309.0,410.0,475.0,388.0,435.0,377.0,535.0,675.0,935.0,1096.0,1227.0,1269.0,1706.0,1671.0,2060.0,3734.0,6979.0,6466.0,6817.0,5849.0,3471.0,3199.0,3149.0,1920.0,2047.0,1792.0,1771.0,1404.0,1568.0,1790.0,1333.0,1189.0,2111.0,1802.0,1802.0,2570.0,3823.0,7916.0,7451.0,15094.0,21471.0,28740.0,18578.0,25533.0,32087.0,20734.0,320.0
14,1,20.0,13.0,17.0,25.0,29.0,29.0,28.0,43.0,39.0,37.0,53.0,50.0,71.0,67.0,105.0,93.0,75.0,88.0,79.0,85.0,70.0,52.0,51.0,58.0,39.0,35.0,37.0,22.0,24.0,23.0,18.0,30.0,39.0,38.0,53.0,97.0,170.0,283.0,300.0,379.0,426.0,529.0,371.0,413.0,472.0,641.0,940.0,1092.0,1128.0,1307.0,1350.0,1944.0,1901.0,4335.0,5757.0,5481.0,7164.0,5766.0,4515.0,3039.0,3325.0,2043.0,1655.0,1548.0,1654.0,1527.0,1403.0,1830.0,1107.0,2335.0,2140.0,1482.0,1632.0,2802.0,3787.0,6801.0,8268.0,14963.0,19554.0,26950.0,20986.0,27506.0,32240.0,22678.0,323.0
15,1,7.0,10.0,27.0,16.0,12.0,15.0,35.0,44.0,44.0,55.0,47.0,53.0,78.0,71.0,76.0,80.0,90.0,92.0,75.0,108.0,69.0,82.0,70.0,42.0,36.0,45.0,29.0,27.0,28.0,26.0,17.0,27.0,42.0,56.0,55.0,100.0,164.0,260.0,398.0,521.0,369.0,381.0,452.0,415.0,484.0,717.0,847.0,974.0,1267.0,1357.0,1529.0,1959.0,2185.0,3978.0,6609.0,6538.0,6175.0,5690.0,4100.0,3222.0,3296.0,2147.0,1969.0,1522.0,1436.0,1934.0,1302.0,1732.0,1591.0,1450.0,2233.0,1304.0,2110.0,3250.0,4008.0,8420.0,9008.0,13923.0,21744.0,26589.0,23746.0,28474.0,30460.0,23022.0,331.0
16,1,12.0,14.0,13.0,23.0,12.0,20.0,30.0,32.0,46.0,45.0,48.0,66.0,53.0,77.0,79.0,100.0,114.0,91.0,87.0,100.0,68.0,52.0,41.0,40.0,38.0,24.0,40.0,36.0,29.0,15.0,16.0,23.0,44.0,46.0,60.0,103.0,160.0,193.0,363.0,464.0,460.0,438.0,554.0,418.0,583.0,747.0,911.0,1005.0,1068.0,1236.0,1345.0,1652.0,2529.0,4764.0,5195.0,5330.0,7066.0,6091.0,3768.0,3727.0,2733.0,2130.0,1687.0,1797.0,1127.0,1592.0,1709.0,1149.0,1138.0,1868.0,1446.0,1993.0,2133.0,2808.0,3659.0,6143.0,9079.0,15474.0,23176.0,26749.0,23951.0,29267.0,28083.0,22231.0,308.0
17,1,8.0,9.0,19.0,26.0,17.0,21.0,45.0,42.0,50.0,71.0,61.0,55.0,71.0,87.0,97.0,73.0,116.0,90.0,94.0,61.0,72.0,72.0,52.0,47.0,35.0,33.0,30.0,23.0,26.0,36.0,24.0,26.0,28.0,54.0,56.0,91.0,139.0,232.0,310.0,478.0,499.0,393.0,406.0,397.0,419.0,705.0,905.0,1185.0,1186.0,1639.0,1354.0,1791.0,2127.0,3964.0,5712.0,5687.0,7091.0,4784.0,3562.0,2953.0,3096.0,1820.0,1851.0,1857.0,1183.0,1584.0,1340.0,1959.0,1310.0,1830.0,2006.0,1624.0,2403.0,2782.0,5458.0,5774.0,9334.0,18172.0,21217.0,28814.0,24066.0,23879.0,31664.0,22908.0,323.0
18,1,8.0,14.0,9.0,20.0,25.0,34.0,41.0,29.0,49.0,52.0,46.0,46.0,75.0,72.0,80.0,77.0,93.0,84.0,80.0,68.0,64.0,60.0,44.0,39.0,33.0,46.0,37.0,28.0,21.0,26.0,29.0,19.0,27.0,24.0,55.0,121.0,136.0,197.0,368.0,346.0,501.0,436.0,470.0,363.0,572.0,707.0,1060.0,1035.0,872.0,1434.0,1398.0,1875.0,2130.0,3562.0,5947.0,5746.0,6860.0,6376.0,3729.0,4274.0,1945.0,1996.0,1935.0,2307.0,1051.0,864.0,1270.0,1355.0,1312.0,1790.0,1702.0,1828.0,2117.0,2716.0,4196.0,7513.0,8456.0,15012.0,18057.0,27680.0,24654.0,26772.0,27351.0,21233.0,323.0
19,1,9.0,17.0,11.0,20.0,29.0,27.0,43.0,33.0,43.0,42.0,48.0,46.0,63.0,85.0,69.0,106.0,115.0,90.0,83.0,78.0,53.0,76.0,44.0,58.0,45.0,37.0,37.0,28.0,30.0,28.0,21.0,23.0,40.0,40.0,46.0,84.0,153.0,240.0,389.0,443.0,360.0,406.0,451.0,437.0,573.0,728.0,842.0,1158.0,907.0,1273.0,1300.0,1833.0,2082.0,3822.0,6207.0,5535.0,7042.0,5545.0,4280.0,4064.0,2653.0,2316.0,2004.0,1432.0,2161.0,1408.0,1222.0,1533.0,1372.0,1431.0,1493.0,1882.0,2105.0,2911.0,3607.0,8677.0,7800.0,15994.0,20949.0,32781.0,24395.0,26794.0,31401.0,23285.0,351.0
20,1,13.0,18.0,15.0,18.0,17.0,22.0,33.0,32.0,51.0,39.0,47.0,63.0,49.0,84.0,90.0,77.0,97.0,110.0,97.0,114.0,93.0,79.0,58.0,35.0,58.0,49.0,38.0,23.0,22.0,20.0,21.0,20.0,32.0,54.0,80.0,89.0,140.0,258.0,399.0,382.0,508.0,380.0,439.0,432.0,550.0,560.0,1034.0,1141.0,1274.0,1264.0,1548.0,1976.0,1749.0,4038.0,5656.0,6847.0,7093.0,6342.0,4208.0,3371.0,3155.0,2053.0,2242.0,1285.0,1506.0,1547.0,1866.0,2276.0,1098.0,1910.0,1627.0,1723.0,2062.0,2132.0,2777.0,7717.0,10531.0,16230.0,23266.0,23094.0,22826.0,26091.0,31926.0,20970.0,337.0
21,1,18.0,12.0,15.0,16.0,17.0,27.0,32.0,46.0,43.0,58.0,70.0,57.0,55.0,84.0,89.0,91.0,86.0,84.0,91.0,65.0,79.0,70.0,51.0,49.0,48.0,46.0,42.0,21.0,22.0,12.0,24.0,24.0,41.0,36.0,49.0,119.0,134.0,212.0,367.0,491.0,517.0,421.0,378.0,510.0,404.0,654.0,1018.0,948.0,1020.0,1246.0,1452.0,2088.0,2498.0,3346.0,6624.0,6384.0,6654.0,4915.0,4432.0,3740.0,3193.0,2342.0,1891.0,1515.0,1073.0,1707.0,1629.0,1356.0,1240.0,1770.0,1577.0,1873.0,1584.0,2767.0,3299.0,6225.0,8099.0,16524.0,21868.0,26792.0,20314.0,23190.0,29411.0,21802.0,319.0
22,1,10.0,14.0,11.0,24.0,21.0,33.0,16.0,25.0,31.0,52.0,40.0,52.0,73.0,73.0,102.0,79.0,83.0,96.0,79.0,67.0,74.0,83.0,58.0,44.0,33.0,34.0,54.0,25.0,27.0,24.0,22.0,30.0,26.0,60.0,56.0,105.0,175.0,219.0,364.0,385.0,511.0,378.0,527.0,507.0,543.0,633.0,913.0,1028.0,1163.0,1209.0,1280.0,1791.0,2165.0,3839.0,6866.0,5338.0,6576.0,5774.0,3233.0,4004.0,2883.0,2022.0,2092.0,1538.0,1622.0,1227.0,1765.0,1129.0,1252.0,1780.0,2114.0,1596.0,1074.0,2568.0,3263.0,6678.0,7992.0,14826.0,21919.0,27321.0,24330.0,26635.0,28811.0,22788.0,361.0
23,1,13.0,10.0,26.0,15.0,19.0,23.0,21.0,32.0,51.0,41.0,61.0,64.0,62.0,51.0,95.0,91.0,93.0,92.0,85.0,119.0,62.0,59.0,45.0,45.0,42.0,37.0,24.0,35.0,25.0,26.0,24.0,32.0,26.0,44.0,70.0,84.0,142.0,251.0,318.0,416.0,418.0,453.0,370.0,466.0,483.0,794.0,968.0,898.0,1044.0,1198.0,1755.0,1805.0,2025.0,3903.0,6854.0,6851.0,6568.0,5705.0,4008.0,3939.0,2863.0,2373.0,1436.0,1485.0,1624.0,1559.0,1234.0,1510.0,1727.0,1210.0,1822.0,1714.0,2121.0,2393.0,3680.0,7309.0,7421.0,16950.0,24288.0,25546.0,24277.0,25222.0,31367.0,23052.0,328.0
